"","beta0","betaTime","betaTime2","betaTime3","betaTime4","betaTime5","betaTime6"
"Dm_00008435-RA",6.14857142676043,0,5.3450574916623e-05,-1.43107989300338e-07,1.21429429224621e-10,-3.92457737568204e-14,4.19933432602959e-18
"Dm_00008439-RA",5.39244434036642,0.0144510870835653,-2.14602178039177e-05,0,1.28141962603981e-11,-5.77770561684298e-15,7.02918033620509e-19
"Dm_00009177-RA",2.53686612842713,0.0801293679294535,-0.000565230387514909,1.10940153442875e-06,-8.38600552641822e-10,2.56858449284799e-13,-2.6713836154917e-17
"Dm_00009178-RA",3.69452354064168,-0.013978175700323,8.57720811278056e-05,-1.63236244917643e-07,1.22086193631373e-10,-3.72291492330931e-14,3.86371544034807e-18
"Dm_00009176-RA",1.17366062711228,0.0724347963034571,-0.000483463732424468,9.42964397737349e-07,-7.13106232898039e-10,2.18661333923068e-13,-2.27613452226761e-17
"Dm_00010635-RA",4.9108312777555,0,0,7.56824795042528e-11,-1.45119939752734e-14,0,0
"Dm_00010636-RA",4.79046036203001,0,-7.81910551440905e-07,4.02666241460353e-10,-5.3337730269389e-14,0,0
"Dm_00008521-RA",0,0.00825663210283426,-4.75125770930545e-06,0,0,2.24424469982366e-16,-4.31301654452733e-20
"Dm_00010274-RA",4.06413137356869,0,-1.93464757687043e-05,4.8077239078365e-08,-3.9433085086621e-11,1.25249921980471e-14,-1.32716309463604e-18
"Dm_00010472-RA",4.12652763248216,0,0,1.25040154001047e-11,0,0,0
"Dm_00009996-RA",2.89894128855342,0.0295296281850376,-0.000196888615804757,3.84929498938876e-07,-2.91297327114551e-10,8.93356419216001e-14,-9.29959853781329e-18
"Dm_00010530-RA",3.12208735492683,0.000684500359025067,-9.38885628464337e-08,0,0,0,0
