"Dm_00006808-RA",1	"Dm_00006808-RA",3
"Dm_00006814-RA",2	"Dm_00006814-RA",5
"Dm_00006842-RA",1	"Dm_00006842-RA",1
"Dm_00006864-RA",2	"Dm_00006864-RA",5
"Dm_00006867-RA",2	"Dm_00006867-RA",7
"Dm_00006882-RA",1	"Dm_00006882-RA",4
"Dm_00006888-RA",1	"Dm_00006888-RA",5
"Dm_00006930-RA",2	"Dm_00006930-RA",4
"Dm_00006952-RA",1	"Dm_00006952-RA",6
"Dm_00006960-RA",1	"Dm_00006960-RA",3
"Dm_00006999-RA",2	"Dm_00006999-RA",8
"Dm_00007025-RA",1	"Dm_00007025-RA",1
"Dm_00007060-RA",1	"Dm_00007060-RA",4
"Dm_00007069-RA",1	"Dm_00007069-RA",2
"Dm_00007079-RA",1	"Dm_00007079-RA",6
"Dm_00007092-RA",1	"Dm_00007092-RA",6
"Dm_00007096-RA",2	"Dm_00007096-RA",3
"Dm_00007129-RA",2	"Dm_00007129-RA",2
"Dm_00007134-RA",1	"Dm_00007134-RA",6
"Dm_00007174-RA",2	"Dm_00007174-RA",5
"Dm_00007183-RA",2	"Dm_00007183-RA",8
"Dm_00007186-RA",2	"Dm_00007186-RA",1
"Dm_00007196-RA",2	"Dm_00007196-RA",7
"Dm_00007238-RA",2	"Dm_00007238-RA",3
"Dm_00007239-RA",2	"Dm_00007239-RA",8
"Dm_00007260-RA",1	"Dm_00007260-RA",4
"Dm_00007263-RA",1	"Dm_00007263-RA",3
"Dm_00007264-RA",1	"Dm_00007264-RA",3
"Dm_00007265-RA",1	"Dm_00007265-RA",3
"Dm_00007274-RA",1	"Dm_00007274-RA",6
"Dm_00007288-RA",2	"Dm_00007288-RA",1
"Dm_00007301-RA",1	"Dm_00007301-RA",6
"Dm_00007319-RA",2	"Dm_00007319-RA",5
"Dm_00007323-RA",2	"Dm_00007323-RA",3
