Orthogroup	A_vesiculosa.proteins	P_amilis.proteins
OG0000071	Av_00011924-RA	FUN_017402-T1
OG0000071	Av_00000661-RA, Av_00023726-RA, Av_00013211-RA, Av_00018792-RA	FUN_005720-T1
OG0000071	Av_00001473-RA, Av_00022951-RA, Av_00009647-RA, Av_00020038-RA, Av_00000767-RA, Av_00004846-RA	FUN_043533-T1, FUN_024955-T1, FUN_024955-T2
OG0000071	Av_00002646-RA, Av_00005357-RA	FUN_032036-T1
OG0000072	Av_00011117-RA	FUN_036484-T1, FUN_011884-T1, FUN_036491-T1, FUN_036489-T1, FUN_029141-T1, FUN_011881-T1
OG0000073	Av_00025085-RA, Av_00024865-RA, Av_00023889-RA, Av_00024854-RA, Av_00017819-RA	FUN_040168-T1
OG0000073	Av_00025098-RA, Av_00023706-RA, Av_00024625-RA, Av_00025117-RA, Av_00024856-RA, Av_00024965-RA, Av_00025011-RA, Av_00024566-RA, Av_00024850-RA, Av_00020639-RA, Av_00023891-RA, Av_00024670-RA, Av_00025020-RA, Av_00017209-RA, Av_00015297-RA, Av_00024293-RA, Av_00016834-RA, Av_00023004-RA, Av_00023479-RA, Av_00025099-RA, Av_00019845-RA, Av_00024980-RA, Av_00017464-RA, Av_00025019-RA, Av_00024417-RA	FUN_007747-T1
OG0000075	Av_00000923-RA, Av_00023632-RA, Av_00023631-RA, Av_00022830-RA	FUN_053122-T1, FUN_053198-T1
OG0000075	Av_00024003-RA	FUN_005764-T1
OG0000077	Av_00007275-RA	FUN_051914-T1, FUN_051913-T1, FUN_051934-T1, FUN_051915-T1, FUN_051916-T1, FUN_045694-T1, FUN_045693-T1, FUN_051940-T1
OG0000078	Av_00015019-RA	FUN_030618-T1
OG0000085	Av_00009790-RA, Av_00008760-RA	FUN_041708-T1, FUN_028183-T1
OG0000085	Av_00021920-RA, Av_00004097-RA	FUN_023955-T1, FUN_050067-T1, FUN_023959-T1
OG0000085	Av_00005421-RA, Av_00002984-RA	FUN_007810-T1
OG0000085	Av_00001099-RA, Av_00004396-RA, Av_00008240-RA	FUN_005979-T1, FUN_044617-T1
OG0000085	Av_00018975-RA	FUN_003118-T1
OG0000087	Av_00020511-RA, Av_00000692-RA, Av_00020453-RA, Av_00013146-RA	FUN_004476-T1, FUN_032711-T1
OG0000087	Av_00020186-RA	FUN_038676-T1, FUN_038676-T2
OG0000087	Av_00000897-RA, Av_00006442-RA, Av_00007520-RA	FUN_032390-T1, FUN_032390-T2, FUN_022969-T1
OG0000088	Av_00002335-RA, Av_00019465-RA	FUN_046753-T1, FUN_025362-T1, FUN_025362-T2, FUN_025363-T1, FUN_025363-T2, FUN_046755-T1, FUN_046754-T1
OG0000089	Av_00023663-RA, Av_00018159-RA, Av_00004150-RA	FUN_006211-T3, FUN_006211-T2, FUN_006211-T1, FUN_006211-T4
OG0000089	Av_00022570-RA, Av_00012795-RA, Av_00004655-RA	FUN_038467-T1, FUN_008746-T1, FUN_008390-T1, FUN_008390-T2, FUN_008390-T3, FUN_008390-T4
OG0000090	Av_00025073-RA, Av_00025074-RA, Av_00016490-RA, Av_00022968-RA, Av_00016491-RA	FUN_052301-T2, FUN_052301-T1
OG0000090	Av_00007702-RA, Av_00000317-RA, Av_00001990-RA	FUN_042832-T5, FUN_042832-T4, FUN_042832-T2, FUN_042832-T3, FUN_042832-T1, FUN_002964-T2, FUN_002964-T3, FUN_002964-T1, FUN_042833-T1, FUN_042833-T3, FUN_042833-T4, FUN_042833-T2
OG0000091	Av_00024182-RA, Av_00022189-RA	FUN_032283-T1, FUN_034071-T1, FUN_034072-T1, FUN_003535-T1
OG0000091	Av_00007950-RA, Av_00006833-RA, Av_00010055-RA	FUN_038181-T1, FUN_018772-T1, FUN_018773-T1, FUN_030891-T1, FUN_030890-T1, FUN_030889-T1, FUN_030888-T1, FUN_030887-T1, FUN_030892-T1
OG0000092	Av_00005802-RA	FUN_005023-T1, FUN_018581-T1, FUN_044125-T1, FUN_017545-T1, FUN_017554-T1, FUN_017547-T1
