Orthogroup	A_coerulea.proteins	G_max.proteins
OG0000041	Aqcoe2G279000.1.p	GmISU01.02G012700.1.p, GmISU01.10G013600.1.p
OG0000041	Aqcoe7G114500.1.p	GmISU01.13G081300.1.p, GmISU01.17G046000.1.p
OG0000041	Aqcoe1G055500.1.p, Aqcoe1G055800.1.p, Aqcoe1G055800.2.p	GmISU01.14G126000.1.p, GmISU01.13G013900.1.p
OG0000042	Aqcoe3G112800.2.p	GmISU01.12G054200.1.p
OG0000042	Aqcoe1G101200.1.p	GmISU01.11G123500.1.p
OG0000042	Aqcoe4G250200.1.p, Aqcoe3G113000.1.p, Aqcoe3G112900.1.p, Aqcoe3G113200.1.p, Aqcoe3G112600.1.p, Aqcoe3G113600.1.p, Aqcoe3G112800.1.p, Aqcoe3G113400.1.p, Aqcoe3G112500.1.p, Aqcoe4G241800.1.p, Aqcoe4G241800.2.p, Aqcoe4G011100.1.p, Aqcoe4G010900.1.p	GmISU01.18G139600.1.p, GmISU01.07G119700.1.p, GmISU01.07G119850.1.p, GmISU01.18G139800.1.p
OG0000043	Aqcoe4G287200.1.p, Aqcoe4G010100.1.p, Aqcoe4G009700.1.p, Aqcoe4G241600.1.p	GmISU01.16G122100.1.p, GmISU01.08G081600.1.p, GmISU01.08G081700.1.p, GmISU01.11G046700.1.p
OG0000043	Aqcoe5G181400.1.p, Aqcoe5G132600.1.p, Aqcoe5G132800.1.p, Aqcoe5G132700.1.p, Aqcoe6G303400.1.p, Aqcoe6G300100.1.p, Aqcoe6G300100.2.p, Aqcoe6G300500.1.p, Aqcoe6G300200.1.p, Aqcoe6G300300.1.p, Aqcoe6G300400.1.p, Aqcoe6G300700.1.p, Aqcoe6G301200.1.p, Aqcoe6G299700.1.p, Aqcoe5G363300.1.p, Aqcoe6G300800.1.p, Aqcoe6G301000.1.p, Aqcoe6G299000.1.p, Aqcoe6G299400.1.p, Aqcoe4G276500.1.p, Aqcoe6G298900.1.p, Aqcoe6G299500.1.p, Aqcoe6G298800.1.p, Aqcoe6G299800.1.p, Aqcoe5G132500.1.p, Aqcoe4G295500.1.p, Aqcoe4G295300.1.p, Aqcoe2G218000.1.p	GmISU01.11G085400.1.p
OG0000044	Aqcoe6G112700.1.p, Aqcoe5G197100.1.p	GmISU01.16G114600.1.p, GmISU01.02G052900.1.p, GmISU01.02G052700.1.p, GmISU01.01G138700.1.p
OG0000044	Aqcoe1G497000.1.p, Aqcoe1G497000.2.p	GmISU01.13G111000.1.p, GmISU01.10G047500.1.p, GmISU01.10G047500.5.p, GmISU01.10G047500.3.p, GmISU01.10G047500.2.p, GmISU01.03G141300.1.p, GmISU01.19G144700.1.p
OG0000044	Aqcoe7G425000.2.p, Aqcoe7G425000.1.p	GmISU01.13G308400.1.p, GmISU01.13G308400.2.p, GmISU01.15G023300.1.p, GmISU01.08G178900.1.p, GmISU01.07G008200.1.p
OG0000044	Aqcoe1G251000.1.p, Aqcoe4G076700.1.p	GmISU01.13G256200.1.p, GmISU01.12G173600.1.p, GmISU01.06G244000.1.p, GmISU01.12G103300.1.p
OG0000044	Aqcoe2G353000.1.p	GmISU01.10G027900.1.p, GmISU01.02G129400.1.p, GmISU01.03G121000.1.p, GmISU01.19G125100.1.p
OG0000046	Aqcoe5G195100.1.p, Aqcoe5G195100.4.p, Aqcoe5G195100.2.p, Aqcoe5G195100.3.p	GmISU01.11G060900.3.p, GmISU01.11G060900.1.p, GmISU01.01G137200.1.p, GmISU01.01G137200.2.p, GmISU01.11G060900.4.p, GmISU01.16G114300.1.p, GmISU01.02G052000.1.p
OG0000046	Aqcoe7G176700.1.p	GmISU01.09G152400.1.p, GmISU01.07G077500.1.p
OG0000046	Aqcoe0143s0001.2.p, Aqcoe0143s0001.1.p	GmISU01.01G073600.1.p, GmISU01.01G073600.4.p, GmISU01.01G073600.3.p, GmISU01.02G114200.1.p, GmISU01.16G084200.1.p
OG0000047	Aqcoe6G058700.1.p	GmISU01.14G141000.1.p, GmISU01.13G059600.1.p
